FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
1,980024,2,3,6,253.647,0,253.647,12137174.2460938,17069.4218433301
2,980026,2,5,7,0,0,0,20396583.6328125,37922.3517689101
3,101110,2,5,7,1,0,1,1676522.890625,5565.41135694779
4,980028,5,4,11,36.004,0,36.004,25280562.5820313,30401.19946
5,101122,2,5,7,0,0,0,3880996.3046875,11695.3042931576
6,980031,8,4,15,10.474,0,10.474,8904029.33984375,42059.1133330375
7,101210,2,5,7,5.095,0,5.095,954767.578125,4453.10170406707
8,101220,2,5,7,34,0,34,1025573.92578125,4688.1769173899
9,101300,2,5,7,20.108,0,20.108,3785887.23046875,10858.2753024641
10,101400,2,5,7,11.995,0,11.995,9255377.47265625,15739.7282605095
11,102103,2,5,2,8.093,0,8.093,1739784.953125,6029.10085005839
12,102104,2,5,2,0,0,0,2433715.578125,10171.245042493
13,102105,2,5,2,9.802,0,9.802,721516.50390625,3671.8133724617
14,102107,2,5,7,4.616,0,4.616,18955574.7773438,23492.9186760341
15,103101,2,5,7,6.781,0,6.781,2979795.125,9383.13577993172
16,103102,2,5,7,12.4,0,12.4,1821420.59375,6100.1629121095
17,103200,2,5,7,55.271,0,55.271,10887869.9765625,19467.7977821276
18,103300,2,5,7,14.775,0,14.775,9013237.42578125,13780.6462507139
19,103400,2,5,7,17.795,0,17.795,3669558.77734375,9221.54164939018
20,104103,2,3,7,33.106,0,33.106,1393607.99609375,4886.68426893879
21,104105,2,3,7,6.781,8,14.781,858372.1640625,4298.39553656417
22,104108,2,3,7,6.116,0,6.116,1609944.8828125,7002.32622622249
23,104124,2,3,7,0,0,0,6580440.21875,14632.9178320479
24,104201,2,3,7,24.114,0,24.114,1600788.3828125,5470.88632124861
25,104203,2,3,7,1.591,0,1.591,1039433.62109375,4082.24995239521
26,104204,2,3,7,16.569,0,16.569,3916346.4921875,11176.9949488311
27,104310,2,3,7,5.781,0,5.781,2214855.078125,7054.24648399188
28,104320,2,3,7,2.591,0,2.591,1779471.45703125,5394.83669459881
29,104401,2,3,7,1.926,0,1.926,999745.44921875,4589.25134630639
30,104403,2,3,7,20.465,0,20.465,1022519.87890625,5936.21618063527
31,104404,2,3,7,13.795,0,13.795,791998.21484375,4037.76168905708
32,104500,2,3,7,1.926,21,22.926,779197.6875,4173.33528534315
33,104610,2,3,7,3.095,0,3.095,869006.79296875,4283.90744110029
34,104620,2,3,7,19.28,0,19.28,779486.5859375,4173.36868580479
35,104701,2,3,7,1.808,0,1.808,808054.89453125,4097.84094800109
36,104703,2,3,7,61.689,0,61.689,1716634.24609375,5673.51162950635
37,104704,2,3,7,9,0,9,2440198.9375,6267.32396923676
38,104810,2,3,7,0,0,0,1648219.4296875,5258.80535704962
39,104821,2,3,7,2.926,0,2.926,780206.05078125,4173.47143956813
40,104822,2,3,7,25.738,0,25.738,893010.16796875,5103.55752763027
41,106010,2,5,7,0,0,0,3705415.140625,8856.33344949611
42,106020,2,3,7,43.392,0,43.392,2965936.890625,8581.93663506648
43,106111,2,3,7,2.095,0,2.095,5624355.84765625,13051.1532658142
44,106112,2,3,7,12.781,170,182.781,4741841.3671875,18391.1603257844
45,106113,2,3,7,49.881,0,49.881,2112895.8046875,7284.00937945404
46,106114,2,3,7,22.036,0,22.036,1490390.16015625,6355.68889103557
47,106403,2,3,7,4,0,4,1624379.1171875,5283.37593359974
48,106405,2,3,7,3.095,0,3.095,1719491.77734375,5354.83823216673
49,106406,2,3,7,9.379,0,9.379,3064695.6875,7906.72882034894
50,106407,2,3,7,0,0,0,341065.5859375,2348.34120850954
51,106408,2,3,7,2,0,2,336380.09375,2326.26828496577
52,106510,2,3,7,12.282,0,12.282,8424950.9609375,13709.206998602
53,106520,2,3,7,44.462,0,44.462,3241010.3828125,7307.76988793228
54,106603,2,5,12,0,0,0,22482774.1953125,22789.5540635052
55,106604,2,3,7,14.673,0,14.673,3838623.76953125,9716.21473904403
56,106641,2,5,12,0,0,0,1667911.5078125,7051.5825916562
57,106642,2,5,12,4.19,0,4.19,2316654.25390625,7528.67661814255
58,106643,2,5,12,2.095,0,2.095,6362894.44921875,12126.4785014725
59,106645,2,5,12,0,0,0,3712567.93359375,11169.1681052747
60,106646,2,5,12,2.703,0,2.703,2167441.59765625,8662.07658626035
61,106648,2,3,7,0,0,0,1164574.09765625,5043.83891361724
62,106649,2,3,7,0,0,0,1628253.5625,7660.1169325222
63,107010,2,3,7,3.591,0,3.591,1005805.859375,4792.95972459359
64,107020,2,3,7,1.591,0,1.591,1461213.0546875,5418.89403563728
65,108101,2,5,12,0,0,0,1657089.51171875,5417.49995995694
66,108102,2,5,12,0,0,0,3206417.93359375,7003.11392464121
67,108103,2,5,12,0,0,0,3764983.0546875,13551.4179389657
68,108104,2,5,12,0,0,0,1213212.1015625,5450.28251792441
69,108201,2,5,12,4.686,0,4.686,4119277.9140625,11247.3446548112
70,108202,2,5,12,0,0,0,8810781.8125,13459.0130740621
71,109100,2,3,7,35.436,0,35.436,3975092.82421875,9733.62029528849
72,109200,2,3,12,0,0,0,1751685.640625,5544.07273546228
73,109300,2,3,12,55.287,0,55.287,1810110.8671875,6460.00683967738
74,109400,2,3,7,24.81,0,24.81,1895925.625,6477.25757642512
75,109500,2,3,7,81.167,0,81.167,1752409.51171875,7603.12309192852
76,109601,2,3,7,4.021,0,4.021,3298769.47265625,7415.86321041974
77,109603,2,3,7,50.078,0,50.078,1465712.13671875,4954.25287726488
78,109604,2,3,7,34.066,0,34.066,1724263.29296875,5300.09492886341
79,109700,2,3,12,13.202,0,13.202,2328918.73828125,6623.21092125495
80,109800,2,3,12,5.102,0,5.102,2053412.4453125,6116.75332961481
81,111100,2,5,12,0,0,0,1554810.80078125,5005.30560989297
82,111201,2,5,12,1.703,0,1.703,2808145.22265625,9293.31713759591
83,111202,2,5,12,4.181,0,4.181,2740025.4609375,7658.18018331912
84,111204,2,5,12,2.591,0,2.591,4859737.37109375,9582.18296304071
85,111205,2,5,12,1.591,0,1.591,1700728.12890625,5430.26025562949
86,111206,2,5,12,0,0,0,3849723.0234375,8909.01786310349
87,111301,2,5,12,10.532,0,10.532,2937170.4296875,7891.7652492322
88,111302,2,5,12,0,0,0,2278502.203125,6582.45294045398
89,111400,2,5,12,2,0,2,2659125.546875,6698.83270059455
90,113101,2,5,12,3.095,0,3.095,3324379.37890625,7842.03331655942
91,113102,2,5,12,14.664,0,14.664,5392276.3515625,9234.90320606838
92,113211,2,5,12,0,0,0,10689156.734375,13973.1505324069
93,113212,2,5,12,0,0,0,1467326.96484375,5216.89523218177
