X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.465431055888047,34.053710966485795,143607782,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,BioDiesel Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Conserv Fuel,11699 San Vicente Boulevard,,Brentwood,CA,24 hours daily,310-571-0039,,,Operational,,4641,,90049,http://egis3.lacounty.gov/lms/?p=4641,publish,34.053711,-118.465431,2010-11-01T19:50:56.000Z,,6420688.60272822,1842253.25507447
-118.184720055873854,33.958213967257983,143607783,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,BioDiesel Fueling Stations,National Transportation Atlas Database (NTAD) 2009,"Spirit Truck Stop - Itl Incorporated (Cudahy Fuelstop, Itl Corporation)",8330 Atlantic Avenue,,Cudahy,CA,"7am-7pm M-F, 7am-12pm Sat",800-448-5485  3,,,Operational,,4642,,90201,http://egis3.lacounty.gov/lms/?p=4642,publish,33.958214,-118.18472,2010-11-01T19:50:56.000Z,,6505653.54598697,1807225.02296573
-118.431689055733372,33.984868966912273,143607784,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,BioDiesel Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Usa Gasoline,4395 Glencoe Avenue,,Marina Del Rey,CA,24 hours daily,310-822-4663,,,Operational,,4643,,90292,http://egis3.lacounty.gov/lms/?p=4643,publish,33.984869,-118.431689,2010-11-01T19:50:56.000Z,,6430801.59004813,1817154.88893273
-118.524788056093129,34.045364967033564,143607785,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,BioDiesel Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Palisades Gas & Wash,890 Alma Real Road,,Pacific Palisades,CA,"8am-6pm M-F, closed when raining",310-459-9181,,,Operational,,4644,,90272,http://egis3.lacounty.gov/lms/?p=4644,publish,34.045365,-118.524788,2010-11-01T19:50:56.000Z,,6402693.32310206,1839304.58446264
-118.49042805589221,34.025501966766349,143607786,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,BioDiesel Fueling Stations,National Transportation Atlas Database (NTAD) 2009,La Biofuel,1217 Wilshire Boulevard,,Santa Monica,CA,8am-5pm M-F,310-396-5310,,,Operational,,4645,,90408,http://egis3.lacounty.gov/lms/?p=4645,publish,34.025502,-118.490428,2010-11-01T19:50:56.000Z,,6413066.83942847,1832023.56818481
-117.924864056622894,34.138402967360229,143607787,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - Azusa Base,950 N Todd Avenue,,Azusa,CA,24 hours daily,800-427-2000,,,Operational,,4646,,91702,http://egis3.lacounty.gov/lms/?p=4646,publish,34.138403,-117.924864,2010-11-01T19:50:56.000Z,,6584406.4941238,1872756.37418623
-118.116795056855366,33.894280967542848,143607788,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,California Clean Fuels,15330 Woodruff Avenue,,Bellflower,CA,24 hours daily,562-923-5441,,,Operational,,4647,,90706,http://egis3.lacounty.gov/lms/?p=4647,publish,33.894281,-118.116795,2010-11-01T19:50:56.000Z,,6526224.92019847,1783927.48589948
-118.319582055812845,34.182447966838865,143607789,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Burbank - Clean Energy,810 N Lake Street,,Burbank,CA,24 hours daily,562-493-2804,,,Operational,,4648,,91502,http://egis3.lacounty.gov/lms/?p=4648,publish,34.182448,-118.319582,2010-11-01T19:50:56.000Z,,6465015.87168506,1888930.29885931
-118.597448055319603,34.210255966375279,143607790,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socal Gas - Clean Energy,7711 Canoga Avenue,,Canoga Park,CA,24 hours daily,562-493-2804,,,Operational,,4649,,91303,http://egis3.lacounty.gov/lms/?p=4649,publish,34.210256,-118.597448,2010-11-01T19:50:56.000Z,,6381038.92218523,1899433.2936013
-118.206891056802718,33.900314967528622,143607791,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - Compton Base,701 N Bullis Road,,Compton,CA,24 hours daily,800-427-2000,,,Operational,,4651,,90221,http://egis3.lacounty.gov/lms/?p=4651,publish,33.900315,-118.206891,2010-11-01T19:50:56.000Z,,6498886.77736831,1786167.41875556
