OBJECTID,BPID,Miles,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type
1,1,0.52,Green,Path,98th St,Avalon Bl,Clovis Av,2644.96220303,2005-01-01T00:00:00.000Z,,Bike Path
2,5,2.27,Green,Path,Arroyo Seco,York Bl,Montecito Heights Rec Center,11326.1999928,2005-01-01T00:00:00.000Z,,Bike Path
3,8,0.07,Green,Path,Ballona Creek (East),National Bl,400' n/o National Bl,914.18037442,2005-01-01T00:00:00.000Z,,Bike Path
4,9,2.49,Green,Path,Ballona Creek (West),Lincoln Bl,Sepulveda Bl,13405.1700231,2005-01-01T00:00:00.000Z,,Bike Path
5,12,2.37,Green,Path,Burbank Bl,Balboa Bl,727' w/o I-405,10589.8338521,2005-01-01T00:00:00.000Z,,Bike Path
6,13,0.38,Green,Path,Cabrillo Beach,Oliver Vickery Circle Wy,end of Jetty,2166.41043446,2005-01-01T00:00:00.000Z,,Bike Path
7,14,0.52,Green,Path,Canterbury Av,Chase St,Reedley St,2730.79193858,2005-01-01T00:00:00.000Z,,Bike Path
8,18,0.8,Green,Path,Chandler Bl,Vineland Av,Clybourn Av,4235.52809673,2005-01-01T00:00:00.000Z,,Bike Path
9,19,0.45,Green,Path,Crescent Av,22nd St,Harbor Bl/Miner St,2440.14712812,2005-01-01T00:00:00.000Z,,Bike Path
10,20,1.4,Green,Path,Culver Bl,McConnell Av,Sawtelle Bl,7351.66332653,2005-01-01T00:00:00.000Z,,Bike Path
11,21,0.5,Green,Path,Devonshire St,Woodman Av,Arleta Av,3031.27435753,2005-01-01T00:00:00.000Z,,Bike Path
12,22,3.79,Green,Path,Dockweiler State Beach,Ballona Creek,El Segundo City Limit,20298.6098919,2005-01-01T00:00:00.000Z,,Bike Path
13,23,0.79,Green,Path,Dominguez Channel,03 mi w/o Vermont Av,W 190th St,4188.85186346,2005-01-01T00:00:00.000Z,,Bike Path
14,28,2.27,Green,Path,Hansen Dam,N/A,N/A,12458.1142697,2005-01-01T00:00:00.000Z,,Bike Path
15,29,0.38,Green,Path,Harbor Park,Gaffey St,Harbor Park,4403.39436891,2005-01-01T00:00:00.000Z,,Bike Path
16,33,0.25,Green,Path,Imperial Hwy (W/B),200' E/O Hillcrest Av,200' e/o Pershing Dr,1544.6306827,2005-01-01T00:00:00.000Z,,Bike Path
17,40,3.8,Green,Path,Orange Line (East),Haskell Av,Leghorn Av,20535.1329132,2005-10-29T00:00:00.000Z,,Bike Path
