FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
1,980024,2,3,6,253.64700000000002,0,253.64700000000002,12137174.2460938,17069.4218433301,1001,121210,2,3,6,43.585,0,43.585,2019286.2522583,5613.334814316469,f6e9e467-5f09-4eea-8959-01dfaa55c21f,2158,980024,2,Lake Balboa NC,6,Lake Balboa NC,3,980024,2019,104.94,0,104.94,32.801232,0.0,32.801232,No,89190174.86816409,46297.4918294074
2,980026,2,5,7,0.0,0,0.0,20396583.6328125,37922.3517689101,1002,197500,4,1,1,69.665,0,69.665,630010.957092285,3168.76024301276,4904c737-a622-40cf-8419-4d20dc625e26,2160,980026,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,980026,2019,0.0,0,0.0,0.0,0.0,0.0,No,151134792.704102,102981.68019972
3,101110,2,5,7,1.0,0,1.0,1676522.890625,5565.4113569477895,1003,277200,5,2,11,15.87,0,15.87,1053414.83654785,4597.635618204879,ed1d8162-7fcd-4977-a297-c825b29bb791,2161,980028,5,Westchester/Playa NC,11,Westchester/Playa NC,4,980028,2019,130.4,0,130.4,19.459076,0.0,19.459076,No,185866822.07226598,82508.3103840673
4,980028,5,4,11,36.004,0,36.004,25280562.582031302,30401.199460000003,1,102104,2,5,2,0.0,0,0.0,1645062.12335205,8228.42896484881,23b6a55a-dbbd-41dc-962e-78a41ee07c73,2163,980031,8,Wilmington NC,15,Wilmington NC,4,980031,2019,5.0,0,5.0,2.108613,0.0,2.108613,No,147950947.48925802,271452.050922111
5,101122,2,5,7,0.0,0,0.0,3880996.3046875,11695.3042931576,2,102105,2,5,2,7.502000000000001,0,7.502000000000001,488916.78881835897,3033.48236226264,35944027-53de-408a-8652-71325ad5f592,1,101110,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101110,2019,12.614,0,12.614,28.600087,0.0,28.600087,No,12295241.3232422,15084.302752881102
6,980031,8,4,15,10.474,0,10.474,8904029.33984375,42059.1133330375,3,102107,2,5,7,19.672,0,19.672,12968692.4537354,19322.391321009698,bf8b68bb-d5dd-40e8-b4fd-83b69153fdf1,2,101122,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101122,2019,1.0,0,1.0,0.9796389999999999,0.0,0.9796389999999999,No,28458041.7832031,31670.4239225665
7,101210,2,5,7,5.095,0,5.095,954767.578125,4453.10170406707,4,104103,2,3,7,0.0,0,0.0,934191.882873535,4005.0022444880797,748b9ab7-9282-4ee1-94cc-d1639d4d8ae1,3,101210,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101210,2019,14.517000000000001,0,14.517000000000001,57.787763,0.0,57.787763,No,7003118.86523438,12066.1096875442
8,101220,2,5,7,34.0,0,34.0,1025573.92578125,4688.1769173899,5,104201,2,3,7,12.975999999999999,0,12.975999999999999,1094887.54272461,4467.11516318525,14f3e315-4e21-42c6-80c6-f83d7e0600f9,4,101220,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101220,2019,24.058000000000003,0,24.058000000000003,89.152876,0.0,89.152876,No,7523128.99414063,12697.7217199295
9,101300,2,5,7,20.108,0,20.108,3785887.23046875,10858.2753024641,6,104320,2,3,7,8.846,119,127.846,1213947.03759766,4455.96025836685,dae4056c-cc72-4343-be13-b4e8c5ec65f9,5,101300,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101300,2019,9.277999999999999,0,9.277999999999999,9.313195,0.0,9.313195,No,27786768.0830078,29376.2692809498
10,101400,2,5,7,11.995,0,11.995,9255377.47265625,15739.728260509499,7,104404,2,3,7,8.738999999999999,0,8.738999999999999,540476.297912598,3335.9459039244603,63be00ad-4bef-4ab4-b615-57f0e5c5b8ea,6,101400,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101400,2019,17.615,0,17.615,7.231698,0.0,7.231698,No,67905918.02246091,42669.307805401404
