OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID
1001,121210,2,3,6,43.585,0,43.585,2019286.2522583,5613.33481431647,f6e9e467-5f09-4eea-8959-01dfaa55c21f
1002,197500,4,1,1,69.665,0,69.665,630010.957092285,3168.76024301276,4904c737-a622-40cf-8419-4d20dc625e26
1003,277200,5,2,11,15.87,0,15.87,1053414.83654785,4597.63561820488,ed1d8162-7fcd-4977-a297-c825b29bb791
1,102104,2,5,2,0,0,0,1645062.12335205,8228.42896484881,23b6a55a-dbbd-41dc-962e-78a41ee07c73
2,102105,2,5,2,7.502,0,7.502,488916.788818359,3033.48236226264,35944027-53de-408a-8652-71325ad5f592
3,102107,2,5,7,19.672,0,19.672,12968692.4537354,19322.3913210097,bf8b68bb-d5dd-40e8-b4fd-83b69153fdf1
4,104103,2,3,7,0,0,0,934191.882873535,4005.00224448808,748b9ab7-9282-4ee1-94cc-d1639d4d8ae1
5,104201,2,3,7,12.976,0,12.976,1094887.54272461,4467.11516318525,14f3e315-4e21-42c6-80c6-f83d7e0600f9
6,104320,2,3,7,8.846,119,127.846,1213947.03759766,4455.96025836685,dae4056c-cc72-4343-be13-b4e8c5ec65f9
7,104404,2,3,7,8.739,0,8.739,540476.297912598,3335.94590392446,63be00ad-4bef-4ab4-b615-57f0e5c5b8ea
8,104701,2,3,7,3.304,0,3.304,551388.138549805,3385.3614352597,1546b053-ca8f-435c-be2d-b4711bbd8642
9,104821,2,3,7,4.237,0,4.237,532692.110107422,3447.79055323589,77384107-d2f4-490f-bdf4-fc2bea5ab4a7
10,106113,2,3,7,19.648,0,19.648,1498729.9586792,6207.48464882979,49faeaf0-dba0-4c57-b9f2-a9cf1fd8644b
11,106403,2,3,7,11.217,0,11.217,1106492.20019531,4362.16078098463,126e1fa7-e564-416e-8bc9-7af029217aaf
12,106408,2,3,7,9.82,0,9.82,229513.894592285,1920.44748002618,4cd33b72-8bc4-4a49-8355-7692aa96b154
13,106641,2,5,12,0,0,0,1164267.98925781,5609.19492756247,ec1211eb-66b9-4c7d-84d5-156c4e3c6025
14,106648,2,3,7,0,0,0,808821.702087402,3949.70375188982,2eb5731f-1c49-48e9-9537-6011ee77c327
15,107020,2,3,7,5.493,0,5.493,999175.744018555,4438.36343452579,569734b7-2c76-48e5-bed1-bf6d8f232ecb
16,108202,2,5,12,0,0,0,6019244.08178711,11008.3734052155,3dd25cef-39c1-4ba0-8605-2d3a18897e30
17,109601,2,3,7,22.46,0,22.46,2259707.5534668,6118.10690945367,92c4bbcd-05d5-427c-8592-7289a78f7364
18,111100,2,5,12,0,0,0,1053924.20996094,4133.46959275701,71798de2-28f3-45ed-8a73-47f9f0b94d8f
19,111302,2,5,12,1.831,0,1.831,1554403.85565186,5442.96986127661,cf34b85a-e7fc-4bde-929e-67e1dfd54ba8
20,113212,2,5,12,11.986,0,11.986,1001912.94769287,4300.84203003155,0c6aa714-f90f-48e2-9ff5-2558727eb8bf
21,113233,2,5,3,9.493,0,9.493,1159492.64025879,5063.42120367171,a50905b7-979d-4769-a4fe-c965cbeab3d7
22,113301,2,5,12,1.831,0,1.831,2274110.91021729,6860.65646064655,89e9d144-243e-490d-be23-7476281028c1
23,113321,2,5,12,0,0,0,1048221.24584961,4165.10994476012,d6060f32-6c72-4749-a526-044722017c76
24,115101,2,3,12,9.449,0,9.449,3885517.04742432,8050.01632594792,066e9431-50e5-4f34-9667-a4793e8997c0
25,115202,2,3,12,32.218,31,63.218,1726379.51599121,5708.77505366025,2d5cc828-009b-4ae3-ba0d-8160fcac0dfd
26,115401,2,3,12,0,0,0,1908287.6619873,6233.26684735989,6a09be97-68e0-44d2-b85d-52b2ebad424a
27,117102,2,3,7,5.493,0,5.493,1031594.36547852,4183.021337824,7fee8883-540d-4c65-9f0a-30837ed5ef59
28,117303,2,3,12,0,0,0,1797382.93591309,5513.418467556,e8f9b79f-e290-48ba-a273-4dc29e82438e
29,117405,2,3,7,4.144,0,4.144,202271.399475098,1812.88415866177,41a14b0b-da60-42c8-aab6-4d4801c1aa93
30,117510,2,3,7,29.377,15,44.377,334898.537353516,2491.74195559394,52265761-86b5-4f9e-9132-cb7b67fb7dd7
31,119201,2,3,6,18.077,0,18.077,954331.40045166,3949.39184235962,424723bf-c8a2-4c22-9a0a-576f32c92d87
32,119320,2,3,6,2.628,0,2.628,494784.52331543,2852.32100113955,33a120bc-ec3a-43fe-974a-30852e42e34f
