OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
2158,980024,2,Lake Balboa NC,6,Lake Balboa NC,3,980024,2019,104.94,0,104.94,32.801232,0,32.801232,No,89190174.8681641,46297.4918294074
2160,980026,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,980026,2019,0,0,0,0,0,0,No,151134792.704102,102981.68019972
2161,980028,5,Westchester/Playa NC,11,Westchester/Playa NC,4,980028,2019,130.4,0,130.4,19.459076,0,19.459076,No,185866822.072266,82508.3103840673
2163,980031,8,Wilmington NC,15,Wilmington NC,4,980031,2019,5,0,5,2.108613,0,2.108613,No,147950947.489258,271452.050922111
1,101110,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101110,2019,12.614,0,12.614,28.600087,0,28.600087,No,12295241.3232422,15084.3027528811
2,101122,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101122,2019,1,0,1,0.979639,0,0.979639,No,28458041.7832031,31670.4239225665
3,101210,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101210,2019,14.517,0,14.517,57.787763,0,57.787763,No,7003118.86523438,12066.1096875442
4,101220,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101220,2019,24.058,0,24.058,89.152876,0,89.152876,No,7523128.99414063,12697.7217199295
5,101300,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101300,2019,9.278,0,9.278,9.313195,0,9.313195,No,27786768.0830078,29376.2692809498
6,101400,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,101400,2019,17.615,0,17.615,7.231698,0,7.231698,No,67905918.0224609,42669.3078054014
7,102103,2,Sun Valley Area NC,2,Sun Valley Area NC,5,102103,2019,0,0,0,0,0,0,No,12770109.7109375,16350.7304872518
8,102104,2,Sun Valley Area NC,2,Sun Valley Area NC,5,102104,2019,1.425,0,1.425,2.223416,0,2.223416,No,17879987.734375,27570.4501015679
9,102105,2,Sun Valley Area NC,2,Sun Valley Area NC,5,102105,2019,23.717,0,23.717,124.802633,0,124.802633,No,5306251.39648438,9956.33839684895
10,102107,2,Foothill Trails District NC,7,Foothill Trails District NC,5,102107,2019,6.508,0,6.508,1.304482,0,1.304482,No,139083488.587891,63679.967319149
11,103101,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,103101,2019,26.872,0,26.872,34.290989,0,34.290989,No,21846854.6152344,25422.120895606
12,103102,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,103102,2019,26.368,0,26.368,55.034047,0,55.034047,No,13357258.7099609,16531.0518392854
13,103200,2,Foothill Trails District NC,7,Foothill Trails District NC,5,103200,2019,32.609,0,32.609,11.388367,0,11.388367,No,79825425.5078125,52745.3593682876
14,103300,2,Foothill Trails District NC,7,Foothill Trails District NC,5,103300,2019,5.413,0,5.413,2.282756,0,2.282756,No,66106459.9521484,37339.0066688219
15,103400,2,Sunland-Tujunga NC,7,Sunland-Tujunga NC,5,103400,2019,26.382,0,26.382,27.325628,0,27.325628,No,26915133.3710938,24999.0682777538
16,104103,2,Foothill Trails District NC,7,Foothill Trails District NC,3,104103,2019,8.202,0,8.202,22.383975,0,22.383975,No,10237407.1181641,13287.8069328498
17,104105,2,Pacoima NC,7,Pacoima NC,3,104105,2019,4.847,0,4.847,21.473085,0,21.473085,No,6292659.17578125,11640.1575557179
18,104108,2,Pacoima NC,7,Pacoima NC,3,104108,2019,1.425,0,1.425,3.365655,0,3.365655,No,11803582.4433594,18965.5554564757
19,104124,2,Kagel Canyon,7,Kagel Canyon,3,104124,2019,11.813,6,17.813,6.828377,3.468235,10.296612,Yes,48204147.6386719,39434.5879797644
20,104201,2,Pacoima NC,7,Pacoima NC,3,104201,2019,6.082,0,6.082,14.451613,0,14.451613,No,11733391.0039063,14807.3007978377
21,104203,2,Pacoima NC,7,Pacoima NC,3,104203,2019,15.034,0,15.034,55.005343,0,55.005343,No,7619777.47363281,11052.7887209807
22,104204,2,Foothill Trails District NC,7,Foothill Trails District NC,3,104204,2019,26.17,0,26.17,25.418858,0,25.418858,Yes,27611409.7861328,30709.8065132456
23,104310,2,Pacoima NC,7,Pacoima NC,3,104310,2019,78.159,0,78.159,134.193937,0,134.193937,No,16238255.1220703,19109.7807057377
24,104320,2,Pacoima NC,7,Pacoima NC,3,104320,2019,3.388,123,126.39,7.239656,262.832836,270.076765,No,13046508.4091797,14607.6223409758
25,104401,2,Pacoima NC,7,Pacoima NC,3,104401,2019,18.56,0,18.56,70.58149,0,70.58149,No,7331091.60839844,12432.0711815895
26,104403,2,Pacoima NC,7,Pacoima NC,3,104403,2019,14.474,0,14.474,53.806373,0,53.806373,No,7499261.046875,16071.8479612546
27,104404,2,Pacoima NC,7,Pacoima NC,3,104404,2019,6.976,0,6.976,33.485136,0,33.485136,No,5807847.70214844,10935.4139517724
28,104500,2,Pacoima NC,7,Pacoima NC,3,104500,2019,12.882,0,12.882,62.83747,0,62.83747,No,5715280.26367188,11300.2083034998
29,104610,2,Pacoima NC,7,Pacoima NC,3,104610,2019,10.462,57,67.462,45.764243,249.336826,295.10107,No,6372936.44628906,11599.4207951725
30,104620,2,Pacoima NC,7,Pacoima NC,3,104620,2019,6.891,0,6.891,33.603209,0,33.603209,No,5716590.43066406,11300.4319820728
31,104701,2,Pacoima NC,7,Pacoima NC,3,104701,2019,16.778,0,16.778,78.943484,0,78.943484,No,5925000.69824219,11097.9986956916
32,104703,2,Pacoima NC,7,Pacoima NC,3,104703,2019,91.676,0,91.676,202.983933,0,202.983933,No,12591124.7597656,15369.2728928062
33,104704,2,Pacoima NC,7,Pacoima NC,3,104704,2019,6.776,16,22.776,10.556108,24.925875,35.481982,No,17895362.8623047,16972.082298815
34,104810,2,Pacoima NC,7,Pacoima NC,3,104810,2019,17.693,0,17.693,40.795807,0,40.795807,No,12090970.0078125,14242.6486219764
35,104821,2,Pacoima NC,7,Pacoima NC,3,104821,2019,9.731,0,9.731,47.395752,0,47.395752,No,5723987.19335938,11301.7597297613
36,104822,2,Pacoima NC,7,Pacoima NC,3,104822,2019,19.058,0,19.058,81.096731,0,81.096731,No,6551138.390625,13820.7939599682
37,106010,2,Sylmar NC,7,Sylmar NC,5,106010,2019,12.248,0,12.248,12.584442,0,12.584442,No,27151747.0830078,23986.1796461211
38,106020,2,Sylmar NC,7,Sylmar NC,3,106020,2019,40.104,0,40.104,51.474281,0,51.474281,No,21763786.3759766,22707.7215380892
39,106111,2,Sylmar NC,7,Sylmar NC,3,106111,2019,21.628,0,21.628,14.638852,0,14.638852,Yes,30127164.7744141,28477.062652709
40,106112,2,Sylmar NC,7,Sylmar NC,3,106112,2019,15.98,0,15.98,12.824212,0,12.824212,No,34684298.734375,49897.3336584591
41,106113,2,Sylmar NC,7,Sylmar NC,3,106113,2019,4.576,0,4.576,8.241685,0,8.241685,No,15479129.9716797,19713.9753355866
42,106114,2,Sylmar NC,7,Sylmar NC,3,106114,2019,12.519,0,12.519,31.962595,0,31.962595,No,10906536.4746094,17199.257872801
43,106403,2,Sylmar NC,7,Sylmar NC,3,106403,2019,13.823,0,13.823,32.383303,0,32.383303,No,11908213.0996094,14306.5455510164
44,106405,2,Sylmar NC,7,Sylmar NC,3,106405,2019,2,0,2,4.427167,0,4.427167,No,12593834.9912109,14490.8314108831
45,106406,2,Sylmar NC,7,Sylmar NC,3,106406,2019,15.546,0,15.546,19.311128,0,19.311128,No,22449693.4619141,21404.0315607827
46,106407,2,Sylmar NC,7,Sylmar NC,3,106407,2019,5.047,0,5.047,56.318154,0,56.318154,No,2497949.79882813,6355.40629994198
47,106408,2,Sylmar NC,7,Sylmar NC,3,106408,2019,16.617,0,16.617,188.019649,0,188.019649,No,2463767.63085938,6295.09883190291
48,106510,2,Sylmar NC,7,Sylmar NC,3,106510,2019,50.326,0,50.326,22.741182,0,22.741182,No,61703601.5693359,37123.1186137417
49,106520,2,Sylmar NC,7,Sylmar NC,3,106520,2019,35.458,0,35.458,41.636062,0,41.636062,No,23741921.8740234,19779.3177734989
50,106603,2,Granada Hills North NC,12,Granada Hills North NC,5,106603,2019,0,0,0,0,0,0,Yes,164677748.881836,61683.7350091788
51,106604,2,Sylmar NC,7,Sylmar NC,3,106604,2019,23.519,0,23.519,23.314891,0,23.314891,No,28121928.8623047,26302.2627916884
52,106641,2,Granada Hills North NC,12,Granada Hills North NC,5,106641,2019,0,0,0,0,0,0,No,12220846.6074219,19091.7786985438
53,106642,2,Granada Hills North NC,12,Granada Hills North NC,5,106642,2019,0,0,0,0,0,0,No,16979324.2939453,20369.1627345003
54,106643,2,Granada Hills North NC,12,Granada Hills North NC,5,106643,2019,0,0,0,0,0,0,No,46632204.6132813,32838.9673344747
55,106645,2,Granada Hills North NC,12,Granada Hills North NC,5,106645,2019,3.949,0,3.949,4.046307,0,4.046307,No,27208208.4238281,30208.8584183575
56,106646,2,Granada Hills North NC,12,Granada Hills North NC,5,106646,2019,1.425,0,1.425,2.500354,0,2.500354,No,15888454.1064453,23435.8329721017
57,106648,2,Sylmar NC,7,Sylmar NC,3,106648,2019,2,0,2,6.533336,0,6.533336,No,8537475.52246094,13662.3020670126
58,106649,2,Sylmar NC,7,Sylmar NC,3,106649,2019,5.047,0,5.047,11.790821,0,11.790821,No,11921658.4580078,20729.0669036209
59,107010,2,Sylmar NC,7,Sylmar NC,3,107010,2019,4.964,0,4.964,18.779464,0,18.779464,No,7370941.8125,12976.7687009619
60,107020,2,Sylmar NC,7,Sylmar NC,3,107020,2019,4.964,0,4.964,12.925185,0,12.925185,No,10686923,14676.9100133611
61,108101,2,Porter Ranch NC,12,Porter Ranch NC,5,108101,2019,0,0,0,0,0,0,No,12147101.9257813,14665.6421625531
62,108102,2,Porter Ranch NC,12,Porter Ranch NC,5,108102,2019,0,0,0,0,0,0,No,23504131.9931641,18954.90606005
63,108103,2,Porter Ranch NC,12,Porter Ranch NC,5,108103,2019,0,0,0,0,0,0,No,27594991.6240234,36687.8889109556
64,108104,2,Porter Ranch NC,12,Porter Ranch NC,5,108104,2019,138.72,0,138.72,434.997967,0,434.997967,No,8900349.75976563,14770.6614176392
65,108201,2,Porter Ranch NC,12,Porter Ranch NC,5,108201,2019,0,0,0,0,0,0,No,30201163.8349609,30448.9409062567
66,108202,2,Porter Ranch NC,12,Porter Ranch NC,5,108202,2019,0,0,0,0,0,0,No,62139219.7001953,35260.079480863
