OBJECTID,ZIPCODE,Zip_code,PAdPhysAct,PAdPhysA_1,NAdPhysAct,Pop_18olde
1,90001,90001,0.346,34.6,14462.8,41800
2,90002,90002,0.355,35.5,13454.5,37900
3,90003,90003,0.359,35.9,14683.1,40900
4,90004,90004,0.392,39.2,18855.2,48100
5,90005,90005,0.399,39.9,12608.4,31600
6,90006,90006,0.382,38.2,14668.8,38400
7,90007,90007,0.418,41.8,12999.8,31100
8,90008,90008,0.328,32.8,8757.6,26700
9,90011,90011,0.367,36.7,25873.5,70500
10,90012,90012,0.442,44.2,7337.2,16600
11,90013,90013,0,0,0,0
12,90014,90014,0,0,0,0
13,90015,90015,0.418,41.8,7064.2,16900
14,90016,90016,0.358,35.8,13532.4,37800
15,90017,90017,0.415,41.5,9130,22000
16,90018,90018,0.363,36.3,13685.1,37700
17,90019,90019,0.367,36.7,17652.7,48100
18,90020,90020,0.415,41.5,11495.5,27700
19,90021,90021,0,0,0,0
20,90023,90023,0.35,35,11305,32300
21,90024,90024,0.428,42.8,14937.2,34900
22,90025,90025,0.398,39.8,14805.6,37200
23,90026,90026,0.384,38.4,21542.4,56100
24,90027,90027,0.409,40.9,14601.3,35700
25,90028,90028,0.446,44.6,11729.8,26300
26,90029,90029,0.398,39.8,12059.4,30300
27,90031,90031,0.381,38.1,11163.3,29300
28,90032,90032,0.374,37.4,12454.2,33300
29,90033,90033,0.379,37.9,12317.5,32500
30,90034,90034,0.386,38.6,19415.8,50300
31,90035,90035,0.38,38,8512,22400
32,90036,90036,0.417,41.7,12718.5,30500
33,90037,90037,0.364,36.4,16562,45500
34,90038,90038,0.399,39.9,9097.2,22800
35,90039,90039,0.39,39,8892,22800
36,90041,90041,0.376,37.6,7708,20500
37,90042,90042,0.373,37.3,17493.7,46900
38,90043,90043,0.318,31.8,11479.8,36100
39,90044,90044,0.341,34.1,23631.3,69300
40,90045,90045,0.393,39.3,11397,29000
41,90046,90046,0.42,42,18144,43200
42,90047,90047,0.304,30.4,11947.2,39300
43,90048,90048,0.403,40.3,8019.7,19900
44,90049,90049,0.416,41.6,12396.8,29800
45,90056,90056,0,0,0,0
46,90057,90057,0.397,39.7,12823.1,32300
47,90058,90058,0,0,0,0
48,90059,90059,0.35,35,9100,26000
49,90061,90061,0.352,35.2,6688,19000
50,90062,90062,0.357,35.7,8925,25000
51,90063,90063,0.337,33.7,13143,39000
